iter	RMSE
0	27.13154355
1	25.86592335
2	24.69156624
3	23.58654289
4	22.50340575
5	21.47205864
6	20.5271782
7	19.59997337
8	18.72192537
9	17.88854736
10	17.07970005
11	16.32642222
12	15.57151832
13	14.89376692
14	14.26677415
15	13.63019852
16	13.04816892
17	12.5036361
18	11.99587986
19	11.46522403
20	10.9885566
21	10.52894387
22	10.08396508
23	9.679604016
24	9.283753852
25	8.907634175
26	8.533795464
27	8.203754155
28	7.874489448
29	7.569762514
30	7.262513712
31	6.988665027
32	6.728448897
33	6.487803346
34	6.2470677
35	6.03371332
36	5.825114153
37	5.620451766
38	5.431510199
39	5.249446273
40	5.079761041
41	4.92468061
42	4.772267219
43	4.629707351
44	4.501008359
45	4.374303113
46	4.263625126
47	4.154679062
48	4.04935023
49	3.953773418
50	3.866314854
51	3.778272155
52	3.709881783
53	3.627638976
54	3.554515969
55	3.482786781
56	3.420618509
57	3.366577936
58	3.309596245
59	3.257434162
60	3.215382477
61	3.171060288
62	3.13074645
63	3.090265898
64	3.053848248
65	3.022128524
66	2.991040342
67	2.962029327
68	2.938936828
69	2.913565959
70	2.891267495
71	2.872646633
72	2.85251695
73	2.834098629
74	2.818836603
75	2.802108466
76	2.786267748
77	2.773144225
78	2.758857401
79	2.746630425
80	2.734354666
81	2.724428949
82	2.714167269
83	2.704645817
84	2.696878972
85	2.68594862
86	2.677976485
87	2.669426787
88	2.662595783
89	2.655871212
90	2.64581416
91	2.637087925
92	2.63047128
93	2.622228638
94	2.616775158
95	2.610936518
96	2.606639219
97	2.602594165
98	2.595767927
99	2.590986509
100	2.586335077
101	2.582013419
102	2.578840284
103	2.573878085
104	2.568924216
105	2.564113258
106	2.559680028
107	2.556758022
108	2.553307094
109	2.551151704
110	2.549191533
111	2.544279087
112	2.54043277
113	2.537295821
114	2.533028508
115	2.529521622
116	2.526624569
117	2.524064147
118	2.52164323
119	2.518715914
120	2.515823941
121	2.513504456
122	2.509990007
123	2.508519654
124	2.505416761
125	2.502474508
126	2.499196394
127	2.497043945
128	2.493751124
129	2.492758588
130	2.490883255
131	2.489160273
132	2.486676617
133	2.485209996
134	2.482099858
135	2.480823216
136	2.479468198
137	2.477283268
138	2.475498487
139	2.472660354
140	2.470388678
141	2.468059293
142	2.466193098
143	2.463635629
144	2.460919148
145	2.457951359
146	2.456172189
147	2.453845103
148	2.451948933
149	2.449595242
150	2.446635752
151	2.444718509
152	2.443281903
153	2.441294369
154	2.439798447
155	2.437097847
156	2.435342081
157	2.432555842
158	2.430067115
159	2.428128356
160	2.425705554
161	2.423507056
162	2.421096983
163	2.418301753
164	2.41581399
165	2.413832216
166	2.411284484
167	2.409684207
168	2.407336551
169	2.405292012
170	2.402105614
171	2.399530279
172	2.396987889
173	2.394962568
174	2.39276384
175	2.389981381
176	2.388844201
177	2.386902702
178	2.385819318
179	2.383884178
180	2.38176927
181	2.378696003
182	2.377768671
183	2.37599346
184	2.374290557
185	2.372833759
186	2.371734502
187	2.369715018
188	2.367061592
189	2.364992512
190	2.363850451
191	2.36226443
192	2.360075504
193	2.358449933
194	2.354799389
195	2.35239541
196	2.350730165
197	2.348781187
198	2.346869289
199	2.345814504
200	2.344424456
201	2.342133518
202	2.340437921
203	2.339448002
204	2.337558884
205	2.335429386
206	2.334228105
207	2.332781421
208	2.329464622
209	2.327993285
210	2.326188464
211	2.324638179
212	2.323302439
213	2.320506945
214	2.318344248
215	2.315797514
216	2.313840263
217	2.312614659
218	2.3112198
219	2.308491483
220	2.306786652
221	2.304547681
222	2.302878216
223	2.30086819
224	2.29870474
225	2.29720629
226	2.294900334
227	2.293006202
228	2.291704972
229	2.289425624
230	2.28806329
231	2.286309795
232	2.285425539
233	2.28275893
234	2.280573896
235	2.278160636
236	2.275826514
237	2.274334684
238	2.272964035
239	2.271613993
240	2.269329869
241	2.267079977
242	2.265325559
243	2.263222378
244	2.262384225
245	2.260534801
246	2.258438809
247	2.256677033
248	2.255132613
249	2.253373955
250	2.252264406
251	2.250753812
252	2.24968521
253	2.247506578
254	2.2455134
255	2.244327849
256	2.242944139
257	2.241787552
258	2.240550375
259	2.238700356
260	2.236867276
261	2.235915439
262	2.234350463
263	2.232520251
264	2.231350208
265	2.22960977
266	2.227889071
267	2.226529872
268	2.224875716
269	2.222937799
270	2.220893679
271	2.218931327
272	2.217381191
273	2.215849039
274	2.214490524
275	2.212678407
276	2.211625347
277	2.2107138
278	2.208761516
279	2.207334553
280	2.206517199
281	2.204077921
282	2.202613498
283	2.200577636
284	2.198875576
285	2.198062254
286	2.19677241
287	2.195259545
288	2.193908738
289	2.192098232
290	2.190360274
291	2.188132199
292	2.187021251
293	2.185874867
294	2.184683029
295	2.182171743
296	2.18057839
297	2.178525615
298	2.176468679
299	2.175223979
300	2.173558669
301	2.172366266
302	2.171196584
303	2.169599935
304	2.16783193
305	2.166372377
306	2.16473998
307	2.163440957
308	2.161539101
309	2.160142502
310	2.157772243
311	2.15638371
312	2.154240446
313	2.153520125
314	2.150897337
315	2.149399285
316	2.147298985
317	2.146195798
318	2.14518126
319	2.143490783
320	2.141894959
321	2.14032329
322	2.138980044
323	2.137609921
324	2.136032492
325	2.134599973
326	2.133093088
327	2.13156704
328	2.130426619
329	2.129414794
330	2.128010312
331	2.126528773
332	2.124789554
333	2.123448325
334	2.122554598
335	2.120673697
336	2.1202841
337	2.119571418
338	2.118262076
339	2.116943932
340	2.11586423
341	2.114561653
342	2.113394537
343	2.112024028
344	2.110758058
345	2.109624536
346	2.108719467
347	2.106772967
348	2.106109435
349	2.104967354
350	2.102269701
351	2.101402967
352	2.098183426
353	2.097178693
354	2.095582831
355	2.094119137
356	2.091628362
357	2.090622927
358	2.089516731
359	2.087997016
360	2.086862134
361	2.085068005
362	2.083935641
363	2.082189924
364	2.081357259
365	2.080198109
366	2.079182415
367	2.077972036
368	2.076393574
369	2.074260225
370	2.072560602
371	2.071013941
372	2.068840324
373	2.06698649
374	2.065274988
375	2.064722881
376	2.063251011
377	2.061899472
378	2.059678214
379	2.058678389
380	2.057338151
381	2.056107401
382	2.055109055
383	2.054631485
384	2.053435455
385	2.051461978
386	2.049359705
387	2.048143581
388	2.046857608
389	2.04503587
390	2.043730202
391	2.041974985
392	2.041161619
393	2.039721455
394	2.037527123
395	2.036171915
396	2.034344021
397	2.033517989
398	2.032190535
399	2.029322067
400	2.028316306
401	2.02716625
402	2.025812318
403	2.024569992
404	2.023145755
405	2.022634003
406	2.02177776
407	2.020346424
408	2.017843746
409	2.017005393
410	2.01560487
411	2.014886588
412	2.014171581
413	2.012743121
414	2.011654443
415	2.010512643
416	2.007927491
417	2.006980408
418	2.005891451
419	2.004770397
420	2.002981526
421	2.001720199
422	2.000652531
423	1.998786412
424	1.996993055
425	1.994733995
426	1.993945409
427	1.991651467
428	1.990419859
429	1.988578693
430	1.987500158
431	1.985888037
432	1.984973145
433	1.984398744
434	1.982471098
435	1.980770554
436	1.979400362
437	1.978667624
