iter	Passed	Remaining
0	4	602
1	7	541
2	10	512
3	13	498
4	16	486
5	19	472
6	23	483
7	27	485
8	30	478
9	33	474
10	36	466
11	40	467
12	43	460
13	46	454
14	49	448
15	53	451
16	57	451
17	60	445
18	63	440
19	66	434
20	70	432
21	73	426
22	76	421
23	79	418
24	82	413
25	87	415
26	90	411
27	93	408
28	96	403
29	100	401
30	103	397
31	107	396
32	111	394
33	114	390
34	117	385
35	120	380
36	123	378
37	126	373
38	129	368
39	133	366
40	136	363
41	140	360
42	143	356
43	146	351
44	149	348
45	152	345
46	156	343
47	159	339
48	162	335
49	165	331
50	170	330
51	173	326
52	176	323
53	179	319
54	182	315
55	186	313
56	190	310
57	193	306
58	196	302
59	199	298
60	202	295
61	205	292
62	208	288
63	211	284
64	214	280
65	218	278
66	222	275
67	225	271
68	229	269
69	232	265
70	235	262
71	238	258
72	241	254
73	245	252
74	248	248
75	251	245
76	254	241
77	258	238
78	261	234
79	263	230
80	266	227
81	269	223
82	272	220
83	277	217
84	280	214
85	283	210
86	287	207
87	289	204
88	292	200
89	295	197
90	298	193
91	302	190
92	305	187
93	309	184
94	312	180
95	315	177
96	318	174
97	322	171
98	325	167
99	328	164
100	331	160
101	335	157
102	339	154
103	342	151
104	345	148
105	348	144
106	351	141
107	354	137
108	357	134
109	360	131
110	363	127
111	366	124
112	370	121
113	373	117
114	376	114
115	379	111
116	382	107
117	384	104
118	389	101
119	392	98
120	395	94
121	398	91
122	401	88
123	404	84
124	407	81
125	410	78
126	413	74
127	416	71
128	419	68
129	422	65
130	425	61
131	430	58
132	433	55
133	436	52
134	439	48
135	443	45
136	446	42
137	449	39
138	454	35
139	457	32
140	459	29
141	462	26
142	465	22
143	469	19
144	472	16
145	475	13
146	479	9
147	483	6
148	486	3
149	489	0
