Q1,Q2,Q3,Q4,Q5,Q6_encoded,Avg_EAR,Std_EAR,Avg_MAR,Std_MAR,Positive_Percent,Neutral_Percent,Negative_Percent,Sentiment_Pos,Sentiment_Neu,Sentiment_Neg,Sentiment_Comp
Rarely,Never,Rarely,Often,Often,1.49816047538945,0.3259,0.0207,0.1114,0.0164,7.11,66.95,25.94,0.0,0.96,0.04,-0.1204
Often,Often,Always,Never,Rarely,3.8028572256396647,0.2989,0.0152,0.1129,0.0105,28.44,23.34,48.23,0.0,0.84,0.16,-0.4587
Often,Often,Often,Never,Sometimes,2.9279757672456204,0.3497,0.0246,0.1181,0.0192,0.0,58.53,41.47,0.0,0.87,0.13,-0.3597
Often,Often,Often,Rarely,Sometimes,2.3946339367881464,0.3677,0.014,0.2383,0.0181,0.32,66.34,33.33,0.0,0.65,0.35,-1.0
Sometimes,Never,Never,Often,Sometimes,0.6240745617697461,0.3454,0.0284,0.0424,0.0101,34.16,65.84,0.0,0.16,0.84,0.0,0.4566
Sometimes,Rarely,Never,Often,Often,0.6239780813448106,0.3342,0.0115,0.0668,0.0111,42.06,57.94,0.0,0.12,0.88,0.0,0.3329
Never,Rarely,Never,Often,Often,0.23233444867279784,0.3262,0.0184,0.109,0.0104,29.57,70.43,0.0,0.35,0.65,0.0,1.0
Always,Often,Sometimes,Rarely,Never,3.4647045830997407,0.2813,0.0157,0.1086,0.0163,1.72,32.6,65.69,0.0,0.89,0.11,-0.3016
Sometimes,Rarely,Sometimes,Sometimes,Sometimes,2.404460046972835,0.2931,0.0209,0.1273,0.0125,6.31,60.77,32.92,0.05,0.95,0.0,0.1345
Often,Often,Often,Often,Rarely,2.832290311184182,0.3145,0.0215,0.1054,0.0113,14.21,43.94,41.85,0.0,0.9,0.1,-0.2758
Rarely,Never,Rarely,Always,Always,0.08233797718320979,0.3306,0.0282,0.0773,0.0176,43.64,56.36,0.0,0.2,0.8,0.0,0.5619
Often,Always,Always,Never,Never,3.8796394086479773,0.2851,0.013,0.1235,0.0198,2.79,53.8,43.41,0.0,0.65,0.35,-1.0
Often,Often,Always,Never,Sometimes,3.329770563201687,0.2186,0.0178,0.1809,0.0183,3.56,42.78,53.66,0.0,0.81,0.19,-0.5332
Never,Sometimes,Rarely,Often,Always,0.8493564427131046,0.2724,0.0177,0.1372,0.0128,23.25,67.99,8.77,0.18,0.82,0.0,0.5179
Rarely,Rarely,Rarely,Often,Often,0.7272998688284025,0.3688,0.0179,0.1084,0.0161,35.97,38.89,25.14,0.08,0.92,0.0,0.2299
Sometimes,Rarely,Rarely,Sometimes,Often,0.7336180394137353,0.2729,0.013,0.0942,0.016,30.74,46.68,22.58,0.22,0.78,0.0,0.6213
Rarely,Sometimes,Rarely,Always,Often,1.216968971838151,0.311,0.0296,0.1566,0.0142,45.64,40.7,13.66,0.06,0.94,0.0,0.1775
Often,Sometimes,Sometimes,Often,Sometimes,2.0990257265289514,0.3167,0.0239,0.0726,0.0108,0.0,68.32,31.68,0.0,0.97,0.03,-0.08
Sometimes,Sometimes,Sometimes,Sometimes,Often,1.727780074568463,0.2984,0.0294,0.1414,0.0151,16.04,71.46,12.5,0.05,0.95,0.0,0.1494
Rarely,Never,Rarely,Often,Often,1.1649165607921677,0.3014,0.0133,0.1533,0.0133,18.38,81.62,0.0,0.1,0.9,0.0,0.2907
Sometimes,Often,Sometimes,Sometimes,Often,2.447411578889518,0.2879,0.0108,0.1381,0.0102,8.4,72.86,18.74,0.0,0.85,0.15,-0.4241
Never,Rarely,Sometimes,Often,Often,0.5579754426081673,0.3133,0.0195,0.128,0.0139,38.11,36.94,24.95,0.0,0.87,0.13,-0.3577
Sometimes,Never,Never,Often,Often,1.1685785941408726,0.2676,0.0117,0.0843,0.0115,14.74,69.11,16.15,0.04,0.96,0.0,0.1028
Sometimes,Never,Rarely,Sometimes,Sometimes,1.4654473731747668,0.2875,0.0103,0.1489,0.0126,0.0,81.05,18.95,0.16,0.84,0.0,0.4505
Often,Sometimes,Sometimes,Rarely,Rarely,1.8242799368681437,0.3401,0.0209,0.1235,0.0169,38.26,58.17,3.58,0.1,0.9,0.0,0.2826
Often,Often,Sometimes,Sometimes,Rarely,3.1407038455720544,0.3166,0.0197,0.0788,0.0179,0.0,40.65,59.35,0.0,0.78,0.22,-0.6237
